event_name,event_type,event_id,event_date_start_date,event_date_status,event_seatmap_url,event_place_name,event_place_id,event_place_postalcode,event_place_location_lat,event_place_location_long,event_classification_segment_id,event_classification_segment_name,event_classification_genre_id,event_classification_genre_name,event_classification_subgenre_id,event_classification_subgenre_name
Portland Trail Blazers vs. Los Angeles Lakers,event,vvG1HZ4YSAOKK5,12/6/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Los Angeles Lakers,event,vvG1HZ4YSA-KK2,12/28/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Toronto Raptors,event,vvG1HZ4YSk1KpF,11/13/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Washington Wizards,event,vvG1HZ4YSk8dpE,3/4/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Chicago Bulls,event,vvG1HZ4YSAHSfz,11/29/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Houston Rockets,event,vvG1HZ4YSAEKKt,3/15/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Boston Celtics,event,vvG1HZ4YSAcNfG,2/25/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Houston Rockets,event,vvG1HZ4YSAidfA,1/29/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. LA Clippers,event,vvG1HZ4YSAIdKc,4/15/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. New York Knicks,event,vvG1HZ4YSkGSp3,12/10/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
