"event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name","venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total"
"Immolation W/ Blood Incantation & Vitriol","event","1718vpG61GcDECm","2019-10-13","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvt","Metal","KZazBEonSMnZfZ7vk6E","Metal","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"Strung Out - Ultimate Experience","event","1718vpG62PN6PLj","2019-10-31","onsale","n/a","Hawthorne Theatre","KovZpZAkn7IA","97214","45.511805","-122.623072","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6an","Rock & Roll","Hawthorne Theatre","venue","KovZpZAkn7IA","97214","-122.623072","45.511805","23"
"Joe Hertler & the Rainbow Seekers W/ Special Guest Los Elk","event","1Ae0Z4JGkTntlcw","2019-10-09","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAvn","Alternative Rock","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"She Past Away with Blessure Grave, Salo, & No Gossip In Braille","event","1Ae0Z4NGkVeuvIO","2019-12-04","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vkAa","Jazz Funk","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Bleached W/ Dude York","event","1Ae0Z4tGkVaPUhK","2019-10-09","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vkda","Jazz","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Crooked Colours with Swimm","event","1Ae0Z4tGkzTOksx","2019-10-05","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvF","Dance/Electronic","KZazBEonSMnZfZ7va1k","Witchstep","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Lost Ox and Amoramora","event","1AtZAQkGkd_VSqj","2019-11-01","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vkvl","Hip-Hop/Rap","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Jenny & the Mexicats with Bang Data","event","1F18vpqKuYZ7uA1e","2019-11-23","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"THE REVEREND PEYTON'S BIG DAMN BAND with Brett Benton","event","rZ7HnEZ1Aa_9Og","2019-10-28","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vk7v","Big Band","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"TUBBY LOVE + AMBER LILLY","event","rZ7HnEZ1Aa_aF4","2019-10-12","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"ROOTS RISING! featuring Matt Andersen, Gaby Moreno & Liz Vice","event","rZ7HnEZ1Aa_Nq4","2019-11-09","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6a6","Punk","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"KEVIN GATES: I'M HIM TOUR with Special Guests YK Osiris, Rod Wave & SDoT Fresh","event","rZ7HnEZ1Aa_SAA","2019-11-21","onsale","n/a","Roseland Theater","KovZpap9re","97201","45.5232796","-122.6764252","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vkdA","Urban","Roseland Theater","venue","KovZpap9re","97201","-122.6764252","45.5232796","37"
"Dax with Special Guest CalenRaps","event","rZ7HnEZ1Aa_V0g","2019-11-21","onsale","n/a"," New Paris Theatre","KovZpa3zVe","97204","45.5228759","-122.673012","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vkvl","Hip-Hop/Rap"," New Paris Theatre","venue","KovZpa3zVe","97204","-122.673012","45.5228759","10"
