venue_name,venue_type,venue_id,venue_postalcode,venue_location_long,venue_location_lat,venue_upcoming_event_total
Moda Center,venue,KovZpa6MXe,97227,-122.66645813,45.53118896,82
Veterans Memorial Coliseum,venue,KovZpZAJ67kA,97208,-122.667442,45.533299,24
Autzen Stadium,venue,KovZpa6Npe,97401,-123.0629993,44.055925,7
Keller Auditorium,venue,KovZpZAEkdFA,97201,-122.679117,45.512731,42
Theater of the Clouds at Moda Center,venue,KovZpZAJ6E6A,97227,-122.66683364,45.53156475,3
Matthew Knight Arena,venue,KovZpZAEe1eA,97403,-123.066824,44.044972,44
Arlene Schnitzer Concert Hall,venue,KovZpZAEkkJA,97205,-122.681188,45.516856,72
Newmark Theatre,venue,KovZpZA7klvA,97201,-122.6855578,45.5044355,28
Hampton Opera Center,venue,KovZ917A_Pf,97214,-122.664029,45.506196,4
The North Warehouse,venue,KovZ917AxF0,97227,-122.674027,45.53807,1
Doug Fir Lounge,venue,KovZpZA1k1EA,97214,-122.6573463,45.5229114,37
Wow Hall,venue,KovZpZA1keEA,97401,-123.097057,44.051208,38
Tower Theatre,venue,KovZpZA1tIdA,97701,-121.314915,44.058744,16
Les Schwab Amphitheater,venue,KovZpZA1vlIA,97702,-121.321527,44.048328,3
Midtown Ballroom,venue,KovZpZAEJE1A,97701,-121.308303,44.059788,6
Dante's,venue,KovZpZAEddeA,97209,-83.06075954,42.35859995,68
Revolution Hall,venue,KovZpZAEkdIA,97214,-122.652092,45.518958,17
McMenamins Crystal Ballroom,venue,KovZpZAFFJnA,97209,-122.6847805,45.5228996,36
Domino Room,venue,KovZpZAFIatA,97701,-121.3071577,44.05993,3
McDonald Theatre,venue,KovZpZAFl6kA,97401,-123.0927664,44.0486182,7
